frame,timestamp_ms,body_nose_vis,body_nose_x,body_nose_y,body_nose_z,body_left_eye_inner_vis,body_left_eye_inner_x,body_left_eye_inner_y,body_left_eye_inner_z,body_left_eye_vis,body_left_eye_x,body_left_eye_y,body_left_eye_z,body_left_eye_outer_vis,body_left_eye_outer_x,body_left_eye_outer_y,body_left_eye_outer_z,body_right_eye_inner_vis,body_right_eye_inner_x,body_right_eye_inner_y,body_right_eye_inner_z,body_right_eye_vis,body_right_eye_x,body_right_eye_y,body_right_eye_z,body_right_eye_outer_vis,body_right_eye_outer_x,body_right_eye_outer_y,body_right_eye_outer_z,body_left_ear_vis,body_left_ear_x,body_left_ear_y,body_left_ear_z,body_right_ear_vis,body_right_ear_x,body_right_ear_y,body_right_ear_z,body_mouth_left_vis,body_mouth_left_x,body_mouth_left_y,body_mouth_left_z,body_mouth_right_vis,body_mouth_right_x,body_mouth_right_y,body_mouth_right_z,body_left_shoulder_vis,body_left_shoulder_x,body_left_shoulder_y,body_left_shoulder_z,body_right_shoulder_vis,body_right_shoulder_x,body_right_shoulder_y,body_right_shoulder_z,body_left_elbow_vis,body_left_elbow_x,body_left_elbow_y,body_left_elbow_z,body_right_elbow_vis,body_right_elbow_x,body_right_elbow_y,body_right_elbow_z,body_left_wrist_vis,body_left_wrist_x,body_left_wrist_y,body_left_wrist_z,body_right_wrist_vis,body_right_wrist_x,body_right_wrist_y,body_right_wrist_z,body_left_pinky_vis,body_left_pinky_x,body_left_pinky_y,body_left_pinky_z,body_right_pinky_vis,body_right_pinky_x,body_right_pinky_y,body_right_pinky_z,body_left_index_vis,body_left_index_x,body_left_index_y,body_left_index_z,body_right_index_vis,body_right_index_x,body_right_index_y,body_right_index_z,body_left_thumb_vis,body_left_thumb_x,body_left_thumb_y,body_left_thumb_z,body_right_thumb_vis,body_right_thumb_x,body_right_thumb_y,body_right_thumb_z,body_left_hip_vis,body_left_hip_x,body_left_hip_y,body_left_hip_z,body_right_hip_vis,body_right_hip_x,body_right_hip_y,body_right_hip_z,body_left_knee_vis,body_left_knee_x,body_left_knee_y,body_left_knee_z,body_right_knee_vis,body_right_knee_x,body_right_knee_y,body_right_knee_z,body_left_ankle_vis,body_left_ankle_x,body_left_ankle_y,body_left_ankle_z,body_right_ankle_vis,body_right_ankle_x,body_right_ankle_y,body_right_ankle_z,body_left_heel_vis,body_left_heel_x,body_left_heel_y,body_left_heel_z,body_right_heel_vis,body_right_heel_x,body_right_heel_y,body_right_heel_z,body_left_foot_index_vis,body_left_foot_index_x,body_left_foot_index_y,body_left_foot_index_z,body_right_foot_index_vis,body_right_foot_index_x,body_right_foot_index_y,body_right_foot_index_z,hand_right_0_x,hand_right_0_y,hand_right_0_z,hand_right_1_x,hand_right_1_y,hand_right_1_z,hand_right_2_x,hand_right_2_y,hand_right_2_z,hand_right_3_x,hand_right_3_y,hand_right_3_z,hand_right_4_x,hand_right_4_y,hand_right_4_z,hand_right_5_x,hand_right_5_y,hand_right_5_z,hand_right_6_x,hand_right_6_y,hand_right_6_z,hand_right_7_x,hand_right_7_y,hand_right_7_z,hand_right_8_x,hand_right_8_y,hand_right_8_z,hand_right_9_x,hand_right_9_y,hand_right_9_z,hand_right_10_x,hand_right_10_y,hand_right_10_z,hand_right_11_x,hand_right_11_y,hand_right_11_z,hand_right_12_x,hand_right_12_y,hand_right_12_z,hand_right_13_x,hand_right_13_y,hand_right_13_z,hand_right_14_x,hand_right_14_y,hand_right_14_z,hand_right_15_x,hand_right_15_y,hand_right_15_z,hand_right_16_x,hand_right_16_y,hand_right_16_z,hand_right_17_x,hand_right_17_y,hand_right_17_z,hand_right_18_x,hand_right_18_y,hand_right_18_z,hand_right_19_x,hand_right_19_y,hand_right_19_z,hand_right_20_x,hand_right_20_y,hand_right_20_z,hand_left_0_x,hand_left_0_y,hand_left_0_z,hand_left_1_x,hand_left_1_y,hand_left_1_z,hand_left_2_x,hand_left_2_y,hand_left_2_z,hand_left_3_x,hand_left_3_y,hand_left_3_z,hand_left_4_x,hand_left_4_y,hand_left_4_z,hand_left_5_x,hand_left_5_y,hand_left_5_z,hand_left_6_x,hand_left_6_y,hand_left_6_z,hand_left_7_x,hand_left_7_y,hand_left_7_z,hand_left_8_x,hand_left_8_y,hand_left_8_z,hand_left_9_x,hand_left_9_y,hand_left_9_z,hand_left_10_x,hand_left_10_y,hand_left_10_z,hand_left_11_x,hand_left_11_y,hand_left_11_z,hand_left_12_x,hand_left_12_y,hand_left_12_z,hand_left_13_x,hand_left_13_y,hand_left_13_z,hand_left_14_x,hand_left_14_y,hand_left_14_z,hand_left_15_x,hand_left_15_y,hand_left_15_z,hand_left_16_x,hand_left_16_y,hand_left_16_z,hand_left_17_x,hand_left_17_y,hand_left_17_z,hand_left_18_x,hand_left_18_y,hand_left_18_z,hand_left_19_x,hand_left_19_y,hand_left_19_z,hand_left_20_x,hand_left_20_y,hand_left_20_z
0,0,0.9993,0.512123,0.283887,-0.101169,0.9993,0.515718,0.271538,-0.082397,0.9988,0.518242,0.271775,-0.082425,0.9991,0.520861,0.27223,-0.082457,0.9987,0.5087,0.271423,-0.082525,0.9978,0.506075,0.271437,-0.082513,0.9984,0.503171,0.271721,-0.082484,0.999,0.523548,0.278794,0.015004,0.9987,0.497293,0.276099,0.014523,0.9989,0.515569,0.3019,-0.065682,0.9988,0.507268,0.300749,-0.065835,0.9994,0.539675,0.354665,0.011233,0.9993,0.476888,0.336231,0.021626,0.9446,0.543705,0.363091,-0.163005,0.9976,0.442231,0.252348,-0.116084,0.8811,0.51731,0.381766,-0.341921,0.9857,0.475175,0.165403,-0.177225,0.7997,0.512375,0.392431,-0.389719,0.9458,0.485282,0.137712,-0.210346,0.7935,0.50786,0.381565,-0.381671,0.9389,0.489029,0.13459,-0.198106,0.7842,0.508523,0.379677,-0.345896,0.9376,0.486179,0.147643,-0.177926,0.9991,0.522931,0.542761,-0.010309,0.9988,0.486334,0.541041,0.010414,0.4131,,,,0.6617,0.486593,0.713689,-0.023295,0.4665,,,,0.5222,0.485826,0.891389,0.040747,0.3548,,,,0.3163,,,,0.4552,,,,0.4525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,0.9993,0.512141,0.283897,-0.128124,0.9993,0.515761,0.271534,-0.111151,0.9989,0.518251,0.271774,-0.111178,0.9991,0.520841,0.272226,-0.111207,0.9987,0.508677,0.271404,-0.109383,0.9978,0.505994,0.271417,-0.109383,0.9985,0.503095,0.271683,-0.10936,0.999,0.52349,0.278454,-0.010599,0.9987,0.497297,0.276075,-0.002563,0.999,0.515853,0.301493,-0.090365,0.9988,0.507276,0.300267,-0.088246,0.9994,0.539846,0.354622,-0.016117,0.9993,0.476902,0.334607,0.010819,0.9437,0.538978,0.373631,-0.222535,0.9975,0.44223,0.252252,-0.177939,0.8831,0.516256,0.367132,-0.425785,0.9858,0.476468,0.16552,-0.317026,0.8045,0.509369,0.363489,-0.478772,0.9471,0.485997,0.1378,-0.35712,0.7981,0.507752,0.3638,-0.466981,0.9403,0.489541,0.135108,-0.343474,0.7868,0.508438,0.363099,-0.428643,0.9388,0.487033,0.147712,-0.318421,0.9991,0.523003,0.543191,-0.015482,0.9988,0.486332,0.541551,0.015572,0.4444,,,,0.6752,0.486403,0.715041,-0.017848,0.4922,,,,0.5425,0.484382,0.885645,0.086449,0.3697,,,,0.3312,,,,0.4773,,,,0.4698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,66,0.9993,0.512416,0.284159,-0.109585,0.9993,0.516054,0.271709,-0.094126,0.9989,0.518419,0.271937,-0.094156,0.9991,0.520876,0.272333,-0.09419,0.9987,0.508761,0.271635,-0.092209,0.9979,0.50601,0.271704,-0.092229,0.9985,0.503098,0.27198,-0.092203,0.999,0.523497,0.278364,0.003994,0.9988,0.497343,0.276249,0.012896,0.999,0.516492,0.301488,-0.071981,0.9989,0.507673,0.300266,-0.069837,0.9994,0.539871,0.35435,-0.006734,0.9993,0.476901,0.333196,0.027994,0.9418,0.540008,0.373061,-0.199543,0.9974,0.442465,0.251937,-0.173509,0.8804,0.522446,0.36786,-0.393393,0.986,0.476787,0.163976,-0.248524,0.8029,0.514293,0.368712,-0.444479,0.9478,0.486404,0.136278,-0.284762,0.7963,0.513591,0.366323,-0.434889,0.9412,0.489933,0.133954,-0.272315,0.784,0.513912,0.365278,-0.397028,0.9396,0.48764,0.145195,-0.249687,0.9991,0.523006,0.542671,-0.018856,0.9988,0.48638,0.541484,0.018956,0.4604,,,,0.6772,0.486402,0.715278,-0.017931,0.5036,0.514929,0.886339,0.042867,0.5503,0.48408,0.884095,0.072714,0.3706,,,,0.3385,,,,0.4863,,,,0.4765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,99,0.9993,0.512491,0.284206,-0.107151,0.9994,0.516144,0.271704,-0.092513,0.999,0.518491,0.271931,-0.092545,0.9992,0.520895,0.272318,-0.092581,0.9988,0.508754,0.271638,-0.088538,0.998,0.505975,0.271715,-0.088558,0.9986,0.503041,0.271987,-0.088528,0.9991,0.5236,0.278322,0.004868,0.9988,0.497346,0.276251,0.019479,0.9991,0.51689,0.301387,-0.07028,0.9989,0.507749,0.300241,-0.066367,0.9995,0.540086,0.354347,-0.00702,0.9993,0.476923,0.333224,0.034055,0.9393,0.539208,0.376538,-0.213181,0.9972,0.442553,0.252544,-0.155152,0.8798,0.523455,0.369215,-0.418574,0.9856,0.477129,0.164095,-0.286727,0.8049,0.515776,0.369247,-0.47117,0.9477,0.486733,0.136354,-0.324976,0.7984,0.515442,0.367543,-0.460693,0.9411,0.490282,0.134118,-0.312751,0.7845,0.515406,0.366499,-0.421823,0.9395,0.48819,0.145237,-0.288685,0.9991,0.523094,0.542879,-0.024955,0.9988,0.486393,0.541909,0.025045,0.4777,,,,0.6754,0.486418,0.717097,-0.01017,0.5147,0.514726,0.886369,0.038025,0.5533,0.483925,0.883903,0.094815,0.3694,,,,0.3432,,,,0.4934,,,,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,133,0.9994,0.512741,0.284238,-0.112813,0.9994,0.516452,0.271737,-0.097017,0.999,0.518733,0.271974,-0.097047,0.9992,0.521022,0.272355,-0.097083,0.9988,0.508905,0.271657,-0.094575,0.9981,0.50604,0.27174,-0.094588,0.9986,0.50307,0.272016,-0.094556,0.9991,0.52367,0.278279,0.002153,0.9989,0.497494,0.276335,0.013273,0.9991,0.517296,0.301368,-0.075151,0.999,0.507948,0.300214,-0.072303,0.9995,0.540087,0.354292,-0.008768,0.9993,0.476947,0.332701,0.031942,0.9385,0.539113,0.377171,-0.211437,0.997,0.442554,0.252612,-0.152315,0.8788,0.523104,0.370279,-0.418154,0.9855,0.477268,0.164526,-0.289679,0.8052,0.51581,0.369859,-0.471972,0.948,0.486965,0.136881,-0.32858,0.7984,0.515383,0.368047,-0.461085,0.9415,0.490585,0.134739,-0.317468,0.783,0.515332,0.366984,-0.421363,0.9398,0.488376,0.145507,-0.292064,0.9991,0.52311,0.54287,-0.026102,0.9988,0.4864,0.542292,0.026198,0.4948,,,,0.6753,0.486414,0.717852,-0.006279,0.5276,0.516121,0.88638,0.035856,0.5584,0.48482,0.883487,0.091896,0.3738,,,,0.3508,,,,0.5035,0.513467,0.933476,-0.066728,0.4835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,166,0.9994,0.512866,0.284442,-0.12126,0.9994,0.516652,0.271841,-0.105404,0.9991,0.518922,0.272083,-0.105432,0.9992,0.521174,0.272452,-0.10546,0.9989,0.508954,0.271803,-0.102577,0.9982,0.506057,0.271916,-0.102582,0.9987,0.503078,0.272207,-0.102549,0.9992,0.523921,0.278273,-0.007829,0.9989,0.497552,0.276526,0.005696,0.9992,0.517644,0.301369,-0.084304,0.999,0.508127,0.300231,-0.080696,0.9995,0.540723,0.354578,-0.020628,0.9993,0.477149,0.332737,0.022672,0.9383,0.539803,0.379351,-0.233293,0.997,0.442198,0.253875,-0.174137,0.8803,0.52281,0.370876,-0.442016,0.9856,0.477307,0.166073,-0.32363,0.8088,0.515706,0.37051,-0.4967,0.949,0.487027,0.139112,-0.363764,0.8021,0.515083,0.364404,-0.48454,0.9427,0.49067,0.136875,-0.351574,0.7852,0.514923,0.367492,-0.444733,0.9408,0.488475,0.147261,-0.325628,0.9991,0.523803,0.543939,-0.025665,0.9989,0.487024,0.542611,0.025749,0.509,0.51964,0.718281,-0.064491,0.6782,0.486948,0.719411,-0.00466,0.5369,0.514633,0.891406,0.048391,0.563,0.485027,0.883565,0.098626,0.3775,,,,0.3543,,,,0.5101,0.510892,0.937197,-0.057125,0.4869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,199,0.9994,0.513633,0.285361,-0.119428,0.9994,0.51733,0.272615,-0.103112,0.9991,0.519497,0.272896,-0.103141,0.9992,0.521583,0.273305,-0.103169,0.9989,0.509498,0.272352,-0.100861,0.9983,0.506472,0.27238,-0.100867,0.9987,0.503402,0.272592,-0.100841,0.9992,0.524062,0.2787,-0.005484,0.9989,0.497704,0.276796,0.005565,0.9992,0.518253,0.301825,-0.082627,0.999,0.508551,0.300713,-0.079725,0.9995,0.540721,0.354792,-0.015756,0.9993,0.477815,0.332761,0.022791,0.9365,0.540398,0.379027,-0.216981,0.9969,0.442006,0.255374,-0.161188,0.8763,0.523054,0.37079,-0.418305,0.9855,0.477568,0.167842,-0.292956,0.8043,0.515889,0.371467,-0.471085,0.9493,0.48737,0.140403,-0.331766,0.7969,0.514429,0.363975,-0.460767,0.9431,0.491186,0.138702,-0.318999,0.7791,0.51412,0.364781,-0.421712,0.9409,0.488861,0.149552,-0.294553,0.9991,0.523879,0.544421,-0.024969,0.9989,0.487186,0.543066,0.025046,0.5206,0.51968,0.721274,-0.066533,0.6824,0.487152,0.719814,-0.006392,0.5484,0.514656,0.890876,0.045797,0.5729,0.484993,0.883491,0.089024,0.3826,,,,0.3631,,,,0.52,0.511574,0.937097,-0.061704,0.4956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,233,0.9994,0.513691,0.285752,-0.112246,0.9994,0.517454,0.272778,-0.096528,0.9991,0.519634,0.273025,-0.096561,0.9992,0.52168,0.273391,-0.096591,0.9989,0.509528,0.272613,-0.093115,0.9983,0.506489,0.272685,-0.093128,0.9987,0.503411,0.272935,-0.093102,0.9992,0.524264,0.278705,-0.001255,0.9989,0.497901,0.277103,0.014762,0.9992,0.51845,0.301929,-0.076241,0.9991,0.508642,0.300944,-0.071886,0.9995,0.540864,0.354896,-0.011613,0.9993,0.478361,0.333283,0.031846,0.9347,0.541034,0.378934,-0.208458,0.9968,0.442013,0.255789,-0.133181,0.8734,0.525791,0.377482,-0.410745,0.9851,0.477768,0.168188,-0.249821,0.8019,0.518332,0.380376,-0.462205,0.9485,0.487652,0.140517,-0.287269,0.7945,0.516987,0.369855,-0.450686,0.9422,0.491438,0.138984,-0.275325,0.7757,0.516627,0.369066,-0.413215,0.94,0.489129,0.1499,-0.251549,0.9991,0.523898,0.54473,-0.02446,0.9989,0.48719,0.544129,0.024542,0.5236,0.519594,0.721588,-0.066022,0.6818,0.487271,0.721857,-0.006584,0.5507,0.513405,0.892479,0.042265,0.5761,0.4848,0.883636,0.084645,0.3816,,,,0.3672,,,,0.5209,0.511243,0.936819,-0.063911,0.4976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266,0.9994,0.513913,0.286664,-0.105275,0.9995,0.517749,0.273618,-0.089502,0.9992,0.519931,0.27389,-0.089535,0.9993,0.52193,0.27428,-0.089569,0.999,0.509811,0.273284,-0.087065,0.9984,0.50679,0.273306,-0.087066,0.9988,0.503723,0.273521,-0.087021,0.9993,0.5244,0.279318,0.006599,0.999,0.498235,0.277398,0.018238,0.9992,0.518667,0.302718,-0.068683,0.9991,0.508762,0.301565,-0.065641,0.9995,0.540782,0.355309,-0.004754,0.9993,0.478705,0.333295,0.0351,0.9346,0.541924,0.378313,-0.204647,0.9968,0.442287,0.256406,-0.126107,0.8773,0.528004,0.379669,-0.409966,0.9857,0.477898,0.168463,-0.246251,0.8086,0.52396,0.387405,-0.462949,0.9508,0.487712,0.140954,-0.282946,0.8014,0.519619,0.376176,-0.454975,0.9448,0.491531,0.139789,-0.273394,0.7821,0.51908,0.374441,-0.413979,0.9426,0.489286,0.150748,-0.248443,0.9991,0.524553,0.546422,-0.024005,0.9989,0.48755,0.546314,0.024089,0.5392,0.520109,0.72244,-0.064988,0.6896,0.487451,0.72492,-0.007707,0.5629,0.515879,0.892437,0.037257,0.5863,0.484853,0.883691,0.083688,0.3891,,,,0.3755,,,,0.5313,0.511411,0.939445,-0.067816,0.5073,0.477847,0.937887,-0.022341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,299,0.9995,0.513911,0.286955,-0.102824,0.9995,0.517753,0.273863,-0.086436,0.9992,0.519937,0.274137,-0.086471,0.9993,0.521936,0.274515,-0.086511,0.999,0.509813,0.273531,-0.084927,0.9985,0.506791,0.273531,-0.084924,0.9989,0.503735,0.273686,-0.084881,0.9993,0.524446,0.279462,0.011805,0.999,0.49832,0.277579,0.018927,0.9993,0.518659,0.302854,-0.065537,0.9991,0.508757,0.301691,-0.063716,0.9995,0.540788,0.355443,0.004889,0.9993,0.47882,0.333021,0.033788,0.934,0.541968,0.380673,-0.198061,0.9968,0.442259,0.256413,-0.139651,0.8772,0.528163,0.381931,-0.406494,0.9856,0.478201,0.169325,-0.271568,0.8092,0.525233,0.38739,-0.458965,0.9508,0.488159,0.141805,-0.309403,0.8022,0.520645,0.376683,-0.450529,0.9449,0.49167,0.140535,-0.298191,0.7829,0.520385,0.375138,-0.410372,0.9426,0.489377,0.151951,-0.273289,0.9991,0.524337,0.54559,-0.02355,0.9989,0.487448,0.545277,0.023669,0.5433,0.520016,0.720762,-0.064866,0.6883,0.487154,0.719983,-0.011616,0.5623,0.515894,0.88988,0.035169,0.585,0.484952,0.883745,0.072543,0.3878,,,,0.3764,,,,0.5292,0.51166,0.931702,-0.068409,0.5053,0.476323,0.9345,-0.029567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
